# dVx,dVy,dVz,time to request
-2.022169132985988105e-01,-2.463857755239090286e-01,-1.267406309599729886e+00,3.397734086739164633e-02
1.561665048648183673e-02,1.388049977860638523e-02,-9.368540954846851787e-02,3.487613923317582632e-02
-1.447370260323189717e-01,-1.350690093335046860e-01,-1.366345032050318153e-01,nan
