# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.387879035393064342e-03
3.731261660745670283e-02,2.278580316771166778e-02,-1.084582403588557967e-02,7.805794672514693167e-02
-3.731261660745670283e-02,-2.278580316771166778e-02,1.084582403588557967e-02,nan
