# dVx,dVy,dVz,time to request
-1.133768369194335657e+00,1.269561370758651053e+00,-9.290822498101269922e-01,4.186021021572310097e-02
-9.199588581051453343e-03,1.579965716010771695e-02,-2.552577212477992186e-01,2.097835120958355809e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.302696202682770692e-03
2.789596331598672221e-03,4.083310592919016553e-03,-2.335019337922300629e-03,1.866807035283615801e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.891333450739697747e-02
