,value,reward,threshold
coll prob,1.9311852450520917e-08,-0.00019311852450520917,0.0001
fuel (|dV|),0.204081632653061,-0.0204081632653061,10.0
dev a (m),424.410194,-30.19691746,100.0
dev e,5.5e-05,-0.0055,0.01
dev i (rad),0.0,-0.0,0.01
dev W (rad),0.0,-0.0,0.01
dev w (rad),-0.001009,-0.10089999999999999,0.01
dev M (rad),0.001447,0.0,
