,value,reward,threshold
coll prob,1.8112649058377173e-07,-0.0018112649058377173,0.0001
fuel (|dV|),0.19079022266441648,-0.019079022266441648,10.0
dev a (m),317.896103,-20.61064927,100.0
dev e,3.8e-05,-0.0038,0.01
dev i (rad),0.0,-0.0,0.01
dev W (rad),0.0,-0.0,0.01
dev w (rad),-0.012629,-3.3660999999999994,0.01
dev M (rad),0.012913,0.0,
