# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.699349652507471942e-02
-2.014215022430698165e-01,-1.283518584827419637e-02,3.023159315557315957e-02,nan
