# dVx,dVy,dVz,time to request
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.699349652507471942e-02
-9.183296224963154175e-02,-2.182242377942207046e-01,-2.955120839204433691e-01,nan
