,value,reward,threshold
coll prob,0.0,-0.0,0.0001
fuel (|dV|),0.5301413215152664,-0.05301413215152664,10.0
dev a (m),-453.064191,-32.77577719,100.0
dev e,-4.8e-05,-0.0048000000000000004,0.01
dev i (rad),-3.1e-05,-0.0031,0.01
dev W (rad),-0.000104,-0.0104,0.01
dev w (rad),0.034924,-23.431599999999996,0.01
dev M (rad),-0.035371,0.0,
