,value,reward,threshold
coll prob,4.547896210760349e-05,-0.45478962107603493,0.0001
fuel (|dV|),0.13013013013013008,-0.013013013013013008,10.0
dev a (m),270.613094,-16.355178459999998,100.0
dev e,3.5e-05,-0.0034999999999999996,0.01
dev i (rad),0.0,-0.0,0.01
dev W (rad),0.0,-0.0,0.01
dev w (rad),-0.000651,-0.06509999999999999,0.01
dev M (rad),0.00093,0.0,
