# dVx,dVy,dVz,time to request
-9.550088092687215591e-01,1.136751188869870477e+00,8.669272858427387263e+00,3.008393324466897972e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.137022684102394644e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047026839323523389e-02
-7.745326328104612523e-02,3.037663376554989303e-01,-3.399651575883586019e-01,3.744033364319501993e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.566921938648786455e-02
-5.884380480227982546e-02,5.913120512260836015e-02,2.395727340815074005e-02,1.278718114831033092e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.282078484597330592e-02
